Date,Username,User tag,Content,Mentions,link
"2023-02-25,20:41:51","leftwild","#0","*play https://open.spotify.com/track/2JtavmnE74r8PxG2Lw23sa?si=74c8f22da96e4108","",""
"2023-02-25,23:42:14","leftwild","#0","*play https://www.youtube.com/watch?v=mcdO9UP0hp8","",""
"2023-02-25,23:42:14","Green-bot","#5315","","",""
"2023-02-25,23:42:33","leftwild","#0","*play https://open.spotify.com/track/0V5cvmTKsYmF5FmGGEAfmS?si=4e1e2ae79b1c4b97","",""
"2023-02-26,03:33:41","Green-bot","#5315","","",""
"2023-02-26,14:37:18","leftwild","#0","*play mask off future","",""
"2023-02-26,14:57:55","leftwild","#0","*play https://open.spotify.com/track/7AVyve7cFYTd51ha5i9kE2?si=ab5e153245524d7d","",""
"2023-02-26,14:57:57","Green-bot","#5315","","",""
"2023-02-26,14:58:07","leftwild","#0","*play https://open.spotify.com/track/7AVyve7cFYTd51ha5i9kE2?si=ab5e153245524d7d","",""
"2023-02-26,15:23:13","danielprop","#0","*play https://open.spotify.com/track/3FwCEB2BNFzWQ9rn4goCXZ?si=c61a0f3c94bf44ae","",""
"2023-02-26,15:23:14","Green-bot","#5315","","",""
"2023-02-26,15:23:51","danielprop","#0","*play https://open.spotify.com/track/3FwCEB2BNFzWQ9rn4goCXZ?si=c61a0f3c94bf44ae","",""
"2023-02-26,15:29:08","danielprop","#0","*play https://open.spotify.com/track/60SvhHtwefT0e2G7i7kOH3?si=1a6deb7764f74265","",""
"2023-02-26,15:33:48","danielprop","#0","*play https://open.spotify.com/track/20T6GVAXqxOBAjWoLRf2Ou?si=cc833e3cc6144a5a","",""
"2023-02-26,16:31:57","leftwild","#0","*play midnight cruising kingo hamada","",""
"2023-02-26,16:36:39","Green-bot","#5315","","",""
"2023-02-26,20:34:37","danielprop","#0","*play https://open.spotify.com/track/3FwCEB2BNFzWQ9rn4goCXZ?si=1ef9cda152f6452c","",""
"2023-02-26,20:34:39","Green-bot","#5315","","",""
"2023-02-27,17:19:59","Patchoras","#0310","*play funky town","",""
"2023-02-27,17:20:25","Patchoras","#0310","*stop","",""
"2023-02-27,17:20:25","Green-bot","#5315","","",""
"2023-02-27,17:20:29","Green-bot","#5315","","",""
"2023-02-27,17:21:44","Patchoras","#0310","*play funky town lipps inc","",""
"2023-02-27,17:22:16","Green-bot","#5315","","",""
"2023-02-27,17:22:31","Patchoras","#0310","*play i get around beach boys","",""
"2023-02-27,20:22:55","leftwild","#0","*play olha a onda","",""
"2023-02-27,20:58:42","Patchoras","#0310","*play ode to the mets","",""
"2023-02-27,21:05:20","leftwild","#0","*play anastacia left outside alone","",""
"2023-02-27,21:09:37","Green-bot","#5315","","",""
"2023-02-28,14:55:58","MangalhoDePauPT","#2657","","","https://cdn.discordapp.com/attachments/834188603952463883/1080141319025995827/az2xRXK_700bwp.webp?ex=659423fe&is=6581aefe&hm=70c8d99586e4b0d025de0dbc8b3ae42b0bf699dd1699f7db920bd32d2f98f6eb&"
"2023-02-28,14:57:58","leftwild","#0","*play ready to fly","",""
"2023-02-28,16:32:49","leftwild","#0","*play ready to fly","",""
"2023-02-28,16:37:05","Patchoras","#0310","https://www.instagram.com/_sylwiaa/","",""
"2023-02-28,17:12:23","Patchoras","#0310","*play mr bombastic","",""
"2023-02-28,17:16:28","Green-bot","#5315","","",""
"2023-02-28,21:26:47","leftwild","#0","*play https://open.spotify.com/track/1vahbgf2hkAjBvYRtIo09F?si=2742177c111349e3","",""
"2023-02-28,21:26:48","Green-bot","#5315","","",""
"2023-02-28,21:27:01","leftwild","#0","*play https://open.spotify.com/track/1vahbgf2hkAjBvYRtIo09F?si=2742177c111349e3","",""
"2023-02-28,23:41:32","Green-bot","#5315","","",""
"2023-03-01,08:29:24","MangalhoDePauPT","#2657","Hmm whats going on in Hungary? https://9gag.com/gag/anz7voq?ref=android","",""
"2023-03-01,08:35:27","MangalhoDePauPT","#2657","Amsterdam https://9gag.com/gag/aVbvmM8?ref=android","",""
"2023-03-01,08:35:41","MangalhoDePauPT","#2657","Is this true? <@246032185780469760>","leftwild#0",""
"2023-03-01,14:29:50","leftwild","#0","yes sir. drrring drring move ya cunt","",""
"2023-03-01,19:49:49","leftwild","#0","*play https://open.spotify.com/playlist/37i9dQZF1E8OsvBPw6hMh7?si=099468b928f64f60","",""
"2023-03-01,19:49:50","Green-bot","#5315","","",""
"2023-03-01,19:58:14","leftwild","#0","*play https://open.spotify.com/playlist/37i9dQZF1E8OsvBPw6hMh7?si=099468b928f64f60","",""
"2023-03-01,19:58:16","Green-bot","#5315","","",""
"2023-03-01,20:38:28","Green-bot","#5315","","",""
"2023-03-01,21:09:05","Green-bot","#5315","","",""
"2023-03-05,17:58:49","MangalhoDePauPT","#2657","*play https://open.spotify.com/track/2PMaHhnrsLiVEkW4xJJ2US?si=6dc1809bf65a43ae","",""
"2023-03-05,17:58:50","Green-bot","#5315","","",""
"2023-03-05,19:17:06","leftwild","#0","*play https://open.spotify.com/track/2SxeNZphx2bH5kju5Ntu8P?si=68bd9a58e24242b3","",""
"2023-03-05,19:22:00","leftwild","#0","*play https://open.spotify.com/track/12LOYGBr0T0IqyuhEILYFh?si=162fc50656484d8f","",""
"2023-03-05,19:39:28","Green-bot","#5315","","",""
"2023-03-07,19:52:13","leftwild","#0","*play flyday chinatown","",""
"2023-03-07,19:52:14","Green-bot","#5315","","",""
"2023-03-07,19:52:27","leftwild","#0","*play flyday chinatown","",""
"2023-03-07,19:52:27","Green-bot","#5315","","",""
"2023-03-07,19:52:59","leftwild","#0","/play flyday chinatown","",""
"2023-03-07,19:53:15","leftwild","#0",".play flyday chinatown","",""
"2023-03-07,19:53:15","Hydra","#1214","","",""
"2023-03-07,19:53:59","Green-bot","#5315","","",""
"2023-03-07,19:56:13","Green-bot","#5315","","",""
"2023-03-07,21:48:11","Patchoras","#0310","*play highway to hell","",""
"2023-03-07,21:48:31","Flow Music","#6823","","",""
"2023-03-07,21:48:39","Flow Music","#6823","Now playing **Highway to Hell** from **AC/DC**, requested by **<@220271899656060928>**.","",""
"2023-03-07,21:52:10","Flow Music","#6823","The queue has ended, disconnecting from the channel.","",""
"2023-03-07,21:53:58","Flow Music","#6823","","",""
